sgId,title,category,content,start,end,vote,author
206,빌딩 화장실,안전,상가 건물이나 기타 영업용 빌딩을 건축할 때 화장실은 제발 남녀 같이 사용하는 화장실은 승인내지 말아 주세요더욱이 한 층에 나란히 맞대고 있는 화장실도 없었으면 좋겠습니다 나란히 맞대고 있는 화장실 ㅠㅠ 너무 끔찍합니다한 화장실을 남 녀가 같이 사용하는 일  너무 민망해요앞으로 건축시에는 특히 상가건물 기타등등 화장실 더욱 신경써서 불미스러운 일이 없었으면 좋겠습니다,2019.06.16,2019.09.13,0,써니 86
205,조부모 아이돌봄 수당 지급,보건복지,"조부모 아이돌봄 수당 지급□도입배경○우리나라의 저출산 문제가 심화되고 있는데 경제적 부담,아이를 믿고맡길수 있는 보육환경 부족 등 다양한 문제로 출산기피○최근 보육교사들이 아이들을 학대등으로 부모들이 불안감 확대로 인한출산 기피○따라서 조부모들이 아이들을 케어할 시 일정부분 수당지급함으로써아이 학대 등 불안감해소▢현 황◌(저출산 심화)  2018년말 통계 출산율0.98명(326,900명)◌(미혼화 진행 확산)  2000년 이후 미래에 대한 인식,경제적 부담등 다양한영역의 사회변동으로 급격한 미혼화 현상 진행- (결혼긍정)男50.5%,女28.8%, (자녀필요)男33.6%,女19.5%로결혼과 출산에 대해매우 부정적임◌(저출산 대책)정부는 저출산 극복을 위해15년간117조원 투자□문제점○저출산 대책으로15년간117조원을 투자 했지만 효과 매우 미흡○아이들을 믿고 맡길수 있는 보육 환경 개선 대책 강구□개선방안◌조부모 아이돌봄 수당 신설( 1인당 월20만원~ 30만원)-수요조사후 정부 예산 반영(전액 국비)◌아이돌봄 관련 지도 감독 강화(월1회이상,관할 지자체)□기대효과◌아이들을 믿고 맡길수 있는 환경 조성으로 출산율 제고◌노인 일자리 창출 확대-",2019.06.15,2019.09.12,1,혁신리더
204,문화 유적지(궁궐이나 왕릉 등)에  장애인을 위한 해설사를 배치,인권/평등,"현재,,,   궁이나 릉 같은 문화유적지에는  한국어를 비롯한 여러국가의 언어들로  해설를 실시하고 있습니다.이러한 서비스는  문화재청에서 오래전부터  우리나라 유적에 대한 보다 자세한 소개 및 국민들의 역사의식 함양에많은 기여를 하고 있는 것이 현실입니다.이러한 좋은 취지의 제도를 조금 더 발전시켜서  ,,   장애인들에게도 이러한 제도의 좋은 취지를 같이 누렸으면 합니다.이에  장애인들을 위한  해설 서비스를  조금이라도 제공해준다면  보다 많은 국민들이  문화유적을 많이 찾을 거라 생각됩니다.< 장애인을 위한  문화 해설 서비스 >- 현재의 문화 해설 서비스 : 문화재청에서 공식적으로 제공하는 한국어 및 외국어 해설서비스  그리고, 민간에서 제공하는 해설 서비스* 장애인을 위한 문화 해설 서비스의 도입>청각장애인을 위한 수화 해설 서비스 제공  : 공식적인 해설서비스  또는 자원봉사자를 통한 해설 서비스 제공>시각장애인을 위한 음성 해설 서비스 제공 : 시각장애인을 위한 음성 안내기 무료 대여 등",2019.06.14,2019.09.11,1,ynkim97
203,업체들의 어음 기간을 줄여주세요,상생협력,"이번정부에 들어서 업체들이 갈수록 힘이 듭니다.경기가 안 좋은 탓도 없지 않아 있겠지만,상위업체들이 돈을 안풀어주네요강제성이 있었으면 좋겠어요대기업들이 현금을 많이 들고있다는데중소기업에서 일 받아서 납품하는 소기업인데정말 힘드네요중소기업 측에서 물건을 받아놓고갑질을 하며 돈도 안주고나라에서 법안으로완제품 내보내고 확인한 다음에그 제품 3개월이내에(현금으로만)지급을 못할시에 주는 패널티라도 있었으면 좋겠어요갑질에 너무 힘듭니다.무슨 업체라고 말은 못하겠지만본인들은 현금을 들고있으면서소기업은 저희업체에 납품된지 4개월지난 물건을5개월짜리 어음을 발행해서주면저는 9개월을 돈을 못받고일을한게 됩니다.2020년에는 어음 3개월로 줄인다고 하던데소기업은 이율이 낮은 어음할인도 안되고죽을 맛입니다.업체에가서 이야기를하면 오히려 갑질행동을보고와야하고 그렇다고 이업체와 싸우자니업체가 끊길가봐 걱정인 ... 소기업 대표는 죽겠습니다.",2019.06.13,2019.09.10,2,더나은나라
202,집앞 불법주차에 대한 신고 개선과 제재를 강화시켜주세요,안전,주차공간이 부족한 주택가에 차도 인도 모두를 침범하는 불법주차 차량이 너무나 많고신고 방법은 번거롭고 신고를 해도 처벌은 미약하니 전혀 개선이 되질 않습니다인도와 차도 모두를 점령하고 있는 주차방식만 보아도 누구나 문제가 심각함을 일수 있을진데시간을 들이고 기다려 신고를 해야하는 이유도 모르겠고 그렇게 어렵게 신고를 한들달라지는 점도 없어서 너무나도 불편하네요인도와 차도 모두에 영향을 주고 시민들의 안전에 위협이 되는 만큼 꼭 개선과 혁신이 필요하다고 생각합니다,2019.06.12,2019.09.09,1,malakh
201,노면전차,환경,일본의 노면전차가 정말 편한거같은데.우리나라도 노면전차를 만들어주세요,2019.06.12,2019.09.09,0,라라라먀
200,직장인자전거무료대여,공동체,장거리 이동기간이 긴 직장인들을위해 일주일에 2번은 자전거무료대여해주면좋을거같아요,2019.06.12,2019.09.09,1,카크느
199,청년구직자를위한교통비제도,일반행정,청년들이 취업면접이나 학원을 갈때 교통비를 기존 1250원이아닌 1000원으로 할인해주시면좋겠어요,2019.06.12,2019.09.09,0,루비나
198,청년들취업일자리문지,사회통합,청년들의 실업난이 심합니다. 모든 청년들에게 작은일자리라도주세요,2019.06.12,2019.09.09,1,루바마
197,복지 정책에 대해서 국민건강보험 적용데 대해서 병원 입원시 간병인비도 지원해주었으면 좋겠어요,보건복지,정부가 건강보험적용이 되어 건보료 상한액을 적용해서 일정금액 이상은 지원해주지만요실제적으로 노인들이 입원했을때 간병인 비용이 발생하는데... 이비용에 대해서도 지원해주었으면 좋겠습니다노인분들이 돈이 어디있나요... 정부에서 지원을 좀더 늘려서... 노인이 되었을때...마음편히 생활할수 있도록 여건 만들어 주었으면 좋겠습니다 ... 지금도 병원비가 너무 비싸다는 생각이 들어요.,2019.06.12,2019.09.09,0,소심공주
